question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens,prompt_cache_mb
249,Qwen2.5-VL-3B,,698.98,72.20,771.19,0.784,124,2,126,0,Yes,no,Are there more water areas than nature reserves?,5.22,5.48,12.11,59.0,8.48,0.0684,4.2388,0.0673,5550,2057,401,0.0000,0,0.00
250,Qwen2.5-VL-3B,,699.50,72.05,771.56,0.785,122,2,124,0,Yes,no,Is a medium water area present?,5.24,5.52,12.03,59.3,8.42,0.0690,4.2115,0.0679,5550,2057,401,0.0000,0,0.00
251,Qwen2.5-VL-3B,,711.70,72.10,783.80,0.797,128,2,130,1,Yes,yes,Is there a water area on the left of a  road?,5.25,5.52,12.06,59.3,8.44,0.0660,4.2219,0.0650,5550,2057,401,0.0000,0,0.00
252,Qwen2.5-VL-3B,,700.70,143.58,844.28,0.857,123,3,126,0,10,0,What is the number of square roads?,5.31,5.56,12.14,59.3,9.71,0.0790,3.2378,0.0771,5550,2057,401,0.0000,0,0.00
253,Qwen2.5-VL-3B,,699.03,72.46,771.49,0.785,121,2,123,1,Yes,yes,Is a medium forest present?,5.13,5.52,11.92,59.3,8.33,0.0689,4.1668,0.0678,5550,2057,401,0.0000,0,0.00
254,Qwen2.5-VL-3B,,711.38,72.18,783.56,0.797,127,2,129,1,No,no,Is the number of forests equal to the number of roads?,5.20,5.44,12.08,59.5,8.46,0.0666,4.2281,0.0656,5550,2057,401,0.0000,0,0.00
255,Qwen2.5-VL-3B,,712.23,210.61,922.84,0.936,129,4,133,0,100,10,What is the amount of forests at the bottom of a  road?,5.29,5.52,12.15,59.2,10.94,0.0848,2.7354,0.0823,5550,2057,401,0.0000,0,0.00
256,Qwen2.5-VL-3B,,698.53,72.08,770.61,0.784,123,2,125,0,1,0,What is the number of large roads?,5.05,5.51,11.90,59.3,8.30,0.0675,4.1518,0.0664,5550,2057,401,0.0000,0,0.00
257,Qwen2.5-VL-3B,,713.10,72.49,785.58,0.799,129,2,131,1,No,no,Is the number of water areas equal to the number of small roads?,5.21,5.44,12.03,59.1,8.42,0.0653,4.2086,0.0643,5550,2057,401,0.0000,0,0.00
258,Qwen2.5-VL-3B,,678.74,72.16,750.90,0.764,128,2,130,1,No,no,Is the number of water areas equal to the number of roads?,5.33,5.52,12.23,59.3,8.57,0.0670,4.2865,0.0659,5550,2057,401,0.0000,0,0.00
259,Qwen2.5-VL-3B,,699.11,72.10,771.21,0.784,122,2,124,0,Yes,no,Is there a large water area?,5.17,5.52,11.92,59.4,8.33,0.0683,4.1668,0.0672,5550,2057,401,0.0000,0,0.00
260,Qwen2.5-VL-3B,,712.77,72.13,784.90,0.798,131,2,133,0,Yes,no,Are there less water areas than water areas on the right of a  forest?,5.25,5.48,12.07,59.1,8.45,0.0645,4.2248,0.0635,5550,2057,401,0.0000,0,0.00
261,Qwen2.5-VL-3B,,699.72,72.45,772.18,0.785,122,2,124,0,1,0,How many circular roads are there?,5.30,5.48,12.22,59.2,8.56,0.0702,4.2807,0.0690,5550,2057,401,0.0000,0,0.00
262,Qwen2.5-VL-3B,,699.92,143.56,843.48,0.857,123,3,126,0,10,0,What is the number of rectangular roads?,5.26,5.52,12.13,59.2,9.70,0.0789,3.2331,0.0770,5550,2057,401,0.0000,0,0.00
263,Qwen2.5-VL-3B,,730.77,72.50,803.27,0.816,139,2,141,0,Yes,no,Is the number of roads equal to the number of forests on the left of a  medium water area in the image?,5.11,5.40,11.91,59.2,9.52,0.0685,4.7598,0.0675,5550,2057,401,0.0000,0,0.00
264,Qwen2.5-VL-3B,,700.08,72.07,772.15,0.785,124,2,126,1,Yes,yes,Are there less water areas than grass areas?,4.91,5.40,11.60,59.2,8.09,0.0653,4.0462,0.0642,5550,2057,401,0.0000,0,0.00
265,Qwen2.5-VL-3B,,698.98,72.11,771.09,0.784,123,2,125,0,Yes,no,Are there less forests than water areas?,5.17,5.40,12.00,59.3,8.40,0.0683,4.2003,0.0672,5550,2057,401,0.0000,0,0.00
266,Qwen2.5-VL-3B,,698.65,72.21,770.86,0.784,123,2,125,0,Yes,no,Are there more water areas than forests?,5.18,5.44,12.10,59.2,8.48,0.0689,4.2386,0.0678,5550,2057,401,0.0000,0,0.00
267,Qwen2.5-VL-3B,,700.40,72.54,772.94,0.786,122,2,124,0,Yes,no,Is there a medium nature reserve?,5.22,5.52,12.07,59.3,8.45,0.0693,4.2263,0.0682,5550,2057,401,0.0000,0,0.00
268,Qwen2.5-VL-3B,,711.52,72.04,783.56,0.797,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,5.24,5.48,12.10,59.3,8.47,0.0662,4.2367,0.0652,5550,2057,401,0.0000,0,0.00
269,Qwen2.5-VL-3B,,700.06,72.09,772.15,0.785,123,2,125,1,1,1,What is the number of square forests?,5.26,5.48,12.17,59.1,8.53,0.0693,4.2642,0.0682,5550,2057,401,0.0000,0,0.00
270,Qwen2.5-VL-3B,,700.19,72.17,772.36,0.785,124,2,126,0,Yes,no,Are there less roads than circular water areas?,5.28,5.56,12.05,59.4,8.44,0.0681,4.2194,0.0670,5550,2057,401,0.0000,0,0.00
271,Qwen2.5-VL-3B,,713.44,72.41,785.84,0.799,129,2,131,0,No,yes,Is the number of circular forests equal to the number of water areas?,5.25,5.52,12.05,59.4,8.43,0.0654,4.2172,0.0644,5550,2057,401,0.0000,0,0.00
272,Qwen2.5-VL-3B,,699.43,142.96,842.39,0.855,122,3,125,0,10,30,How many small roads are there?,5.30,5.56,12.20,59.4,9.77,0.0801,3.2556,0.0781,5550,2057,401,0.0000,0,0.00
273,Qwen2.5-VL-3B,,698.67,72.51,771.18,0.784,121,2,123,1,Yes,yes,Is a small road present?,5.10,5.48,11.97,59.2,8.36,0.0691,4.1813,0.0680,5550,2057,401,0.0000,0,0.00
274,Qwen2.5-VL-3B,,698.64,72.54,771.18,0.784,121,2,123,1,No,no,Is there a square road?,5.22,5.48,12.08,59.3,8.46,0.0699,4.2289,0.0688,5550,2057,401,0.0000,0,0.00
275,Qwen2.5-VL-3B,,712.37,72.09,784.46,0.798,129,2,131,1,No,no,Is the number of roads equal to the number of rectangular water areas?,5.21,5.48,12.11,59.3,8.48,0.0657,4.2399,0.0647,5550,2057,401,0.0000,0,0.00
276,Qwen2.5-VL-3B,,712.21,72.48,784.69,0.798,127,2,129,0,2,3,How many nature reserves next to a  road are there?,5.31,5.52,12.11,59.5,8.48,0.0668,4.2407,0.0657,5550,2057,401,0.0000,0,0.00
277,Qwen2.5-VL-3B,,700.13,72.07,772.20,0.785,123,2,125,0,Yes,no,Are there less roads than grass areas?,5.30,5.52,12.18,59.2,8.53,0.0693,4.2647,0.0682,5550,2057,401,0.0000,0,0.00
278,Qwen2.5-VL-3B,,700.53,72.04,772.56,0.786,124,2,126,0,3,0,What is the number of rectangular grass areas?,5.22,5.44,12.11,59.4,8.48,0.0684,4.2409,0.0673,5550,2057,401,0.0000,0,0.00
279,Qwen2.5-VL-3B,,699.64,72.10,771.74,0.785,122,2,124,0,Yes,no,Are there more forests than roads?,5.24,5.52,12.03,59.4,8.42,0.0690,4.2112,0.0679,5550,2057,401,0.0000,0,0.00
280,Qwen2.5-VL-3B,,711.86,72.50,784.36,0.797,128,2,130,0,2,1,What is the number of water areas next to a  forest?,5.24,5.48,12.05,59.2,8.43,0.0659,4.2163,0.0649,5550,2057,401,0.0000,0,0.00
281,Qwen2.5-VL-3B,,712.24,72.09,784.33,0.797,128,2,130,1,3,3,How many grass areas next to the  water area are there?,5.28,5.52,12.15,59.3,8.52,0.0665,4.2577,0.0655,5550,2057,401,0.0000,0,0.00
282,Qwen2.5-VL-3B,,700.40,72.03,772.42,0.785,125,2,127,0,Yes,no,Are there more large water areas than medium forests?,5.31,5.56,12.18,59.4,8.53,0.0683,4.2672,0.0672,5550,2057,401,0.0000,0,0.00
283,Qwen2.5-VL-3B,,699.11,72.05,771.16,0.784,121,2,123,1,No,no,Is there a rectangular road?,5.25,5.48,12.09,59.5,8.46,0.0699,4.2318,0.0688,5550,2057,401,0.0000,0,0.00
284,Qwen2.5-VL-3B,,700.97,143.71,844.68,0.858,124,3,127,0,10,0,What is the amount of circular nature reserves?,5.25,5.52,12.05,59.2,9.64,0.0778,3.2140,0.0759,5550,2057,401,0.0000,0,0.00
285,Qwen2.5-VL-3B,,699.02,72.51,771.53,0.785,124,2,126,1,1,1,What is the number of rectangular water areas?,5.14,5.52,11.88,59.3,8.30,0.0669,4.1499,0.0659,5550,2057,401,0.0000,0,0.00
286,Qwen2.5-VL-3B,,728.64,72.07,800.71,0.814,135,2,137,0,1,no,Is the number of forests equal to the number of water areas on the right of a  road?,5.26,5.48,12.00,59.4,9.60,0.0711,4.7991,0.0701,5550,2057,401,0.0000,0,0.00
287,Qwen2.5-VL-3B,,712.46,72.05,784.51,0.798,128,2,130,0,3,13,How many forests at the top of a  road are there?,4.93,5.48,11.58,59.2,8.07,0.0631,4.0371,0.0621,5550,2057,401,0.0000,0,0.00
288,Qwen2.5-VL-3B,,711.11,72.17,783.27,0.796,126,2,128,1,Yes,yes,Is there a nature reserve next to a  road?,5.23,5.40,12.05,59.2,8.44,0.0670,4.2210,0.0660,5550,2057,401,0.0000,0,0.00
289,Qwen2.5-VL-3B,,699.32,72.46,771.78,0.785,122,2,124,0,Yes,no,Is a circular grass area present?,5.27,5.48,12.17,59.2,8.53,0.0699,4.2626,0.0688,5550,2057,401,0.0000,0,0.00
290,Qwen2.5-VL-3B,,699.39,72.14,771.53,0.785,123,2,125,1,Yes,yes,Are there less water areas than forests?,5.27,5.56,12.07,59.3,8.45,0.0687,4.2263,0.0676,5550,2057,401,0.0000,0,0.00
291,Qwen2.5-VL-3B,,699.35,72.07,771.42,0.784,124,2,126,1,Yes,yes,Are there more water areas than rectangular roads?,5.25,5.52,12.03,59.2,8.42,0.0679,4.2095,0.0668,5550,2057,401,0.0000,0,0.00
292,Qwen2.5-VL-3B,,713.11,72.09,785.20,0.798,131,2,133,1,1,1,What is the number of square water areas at the bottom of a  road?,5.24,5.56,12.05,59.2,8.44,0.0644,4.2211,0.0635,5550,2057,401,0.0000,0,0.00
293,Qwen2.5-VL-3B,,699.51,72.08,771.59,0.785,124,2,126,0,Yes,no,Are there more medium forests than water areas?,5.31,5.52,12.18,59.2,8.54,0.0689,4.2709,0.0678,5550,2057,401,0.0000,0,0.00
294,Qwen2.5-VL-3B,,699.45,72.58,772.03,0.785,126,2,128,1,Yes,yes,Are there more roads than large forests in the image?,5.24,5.52,12.14,59.2,8.50,0.0674,4.2488,0.0664,5550,2057,401,0.0000,0,0.00
295,Qwen2.5-VL-3B,,699.91,72.20,772.11,0.785,122,2,124,1,1,1,How many medium forests are there?,5.22,5.48,12.05,59.2,8.44,0.0692,4.2182,0.0680,5550,2057,401,0.0000,0,0.00
296,Qwen2.5-VL-3B,,712.68,72.02,784.71,0.798,129,2,131,1,Yes,yes,Is a forest on the right of the  circular water area present?,5.24,5.52,12.05,59.3,8.44,0.0654,4.2200,0.0644,5550,2057,401,0.0000,0,0.00
297,Qwen2.5-VL-3B,,711.94,71.99,783.93,0.797,129,2,131,1,No,no,Is the number of water areas equal to the number of circular roads?,5.33,5.52,12.11,59.2,8.48,0.0658,4.2420,0.0648,5550,2057,401,0.0000,0,0.00
298,Qwen2.5-VL-3B,,700.39,72.49,772.88,0.786,124,2,126,1,Yes,yes,Are there less rectangular nature reserves than roads?,5.30,5.56,12.13,59.2,8.50,0.0685,4.2498,0.0675,5550,2057,401,0.0000,0,0.00
299,Qwen2.5-VL-3B,,698.86,72.06,770.91,0.784,121,2,123,1,Yes,yes,Is a square forest present?,5.28,5.56,12.06,59.3,8.44,0.0698,4.2213,0.0686,5550,2057,401,0.0000,0,0.00
300,Qwen2.5-VL-3B,,699.25,143.17,842.42,0.864,124,3,127,1,Rural,rural,Is it a rural or an urban area,5.24,5.52,12.04,59.3,9.62,0.0776,3.2071,0.0758,5550,2057,401,0.0000,0,0.00
301,Qwen2.5-VL-3B,,698.76,72.14,770.90,0.784,121,2,123,1,No,no,Is a rectangular road present?,5.09,5.28,12.01,59.1,8.41,0.0695,4.2051,0.0684,5550,2057,401,0.0000,0,0.00
302,Qwen2.5-VL-3B,,699.48,72.13,771.60,0.785,122,2,124,0,0,7,How many commercial buildings are there?,5.22,5.48,12.04,59.2,8.43,0.0691,4.2155,0.0680,5550,2057,401,0.0000,0,0.00
303,Qwen2.5-VL-3B,,711.80,72.55,784.34,0.798,126,2,128,0,1,164,What is the amount of residential buildings in the image?,5.26,5.52,12.03,59.3,8.42,0.0668,4.2112,0.0658,5550,2057,401,0.0000,0,0.00
304,Qwen2.5-VL-3B,,679.20,480.38,1159.57,1.173,122,8,130,0,1000000,152,What is the amount of forests?,5.38,5.56,12.36,59.4,13.59,0.1114,1.6990,0.1046,5550,2057,401,0.0000,0,0.00
305,Qwen2.5-VL-3B,,699.18,72.50,771.68,0.785,120,2,122,1,Yes,yes,Is a building present?,5.23,5.60,12.32,59.2,8.61,0.0717,4.3044,0.0706,5550,2057,401,0.0000,0,0.00
306,Qwen2.5-VL-3B,,700.30,72.19,772.49,0.786,124,2,126,0,1,187,How many roads are there in the image?,5.20,5.44,12.08,59.2,8.46,0.0682,4.2312,0.0672,5550,2057,401,0.0000,0,0.00
307,Qwen2.5-VL-3B,,711.05,142.90,853.95,0.868,126,3,129,1,10,10,What is the number of orchards in the image?,5.27,5.52,12.11,59.4,9.69,0.0769,3.2314,0.0751,5550,2057,401,0.0000,0,0.00
308,Qwen2.5-VL-3B,,699.05,72.10,771.15,0.784,121,2,123,0,No,yes,Is a residential building present?,5.15,5.48,12.00,59.3,8.39,0.0694,4.1961,0.0682,5550,2057,401,0.0000,0,0.00
309,Qwen2.5-VL-3B,,699.90,72.45,772.36,0.786,123,2,125,0,No,yes,Is a road present in the image?,5.21,5.48,12.05,59.3,8.44,0.0686,4.2201,0.0675,5550,2057,401,0.0000,0,0.00
310,Qwen2.5-VL-3B,,698.88,71.96,770.84,0.784,121,2,123,1,Yes,yes,Is there a commercial building?,5.25,5.52,12.03,59.4,8.42,0.0696,4.2106,0.0685,5550,2057,401,0.0000,0,0.00
311,Qwen2.5-VL-3B,,698.76,72.04,770.80,0.784,121,2,123,1,Yes,yes,Is a water area present?,5.25,5.52,12.09,59.2,8.46,0.0700,4.2320,0.0688,5550,2057,401,0.0000,0,0.00
312,Qwen2.5-VL-3B,,698.62,72.17,770.79,0.784,121,2,123,1,Yes,yes,Is a grass area present?,5.22,5.52,12.11,59.3,8.48,0.0701,4.2411,0.0690,5550,2057,401,0.0000,0,0.00
313,Qwen2.5-VL-3B,,699.87,278.69,978.56,0.992,123,5,128,0,1000,25,What is the amount of water areas?,5.31,5.52,12.11,59.4,10.89,0.0885,2.1775,0.0851,5550,2057,401,0.0000,0,0.00
314,Qwen2.5-VL-3B,,699.58,72.46,772.04,0.785,122,2,124,0,No,yes,Is there a circular orchard?,5.31,5.56,12.32,59.3,8.62,0.0707,4.3112,0.0695,5550,2057,401,0.0000,0,0.00
315,Qwen2.5-VL-3B,,700.43,210.50,910.94,0.924,124,4,128,0,100,79,What is the number of farmlands?,5.30,5.52,12.14,59.3,10.92,0.0881,2.7297,0.0853,5550,2057,401,0.0000,0,0.00
316,Qwen2.5-VL-3B,,698.39,72.05,770.44,0.784,121,2,123,0,Yes,no,Is there a medium road?,5.00,5.44,11.81,59.2,8.24,0.0681,4.1192,0.0670,5550,2057,401,0.0000,0,0.00
317,Qwen2.5-VL-3B,,697.92,72.07,769.99,0.783,122,2,124,1,Yes,yes,Is there a circular water area?,5.22,5.48,12.05,59.3,8.44,0.0692,4.2182,0.0680,5550,2057,401,0.0000,0,0.00
318,Qwen2.5-VL-3B,,699.36,72.14,771.49,0.785,123,2,125,0,1,0,How many large residential buildings are there?,5.20,5.36,12.04,59.4,8.44,0.0686,4.2213,0.0675,5550,2057,401,0.0000,0,0.00
319,Qwen2.5-VL-3B,,698.81,72.51,771.32,0.785,121,2,123,0,1,191,How many buildings are there?,5.24,5.52,12.07,59.2,8.45,0.0698,4.2259,0.0687,5550,2057,401,0.0000,0,0.00
320,Qwen2.5-VL-3B,,711.40,72.45,783.85,0.797,126,2,128,0,Yes,no,Are there less roads than commercial buildings in the image?,5.24,5.48,12.12,59.3,8.48,0.0673,4.2422,0.0663,5550,2057,401,0.0000,0,0.00
321,Qwen2.5-VL-3B,,711.83,72.14,783.97,0.797,128,2,130,1,No,no,Is the number of roads equal to the number of commercial buildings?,5.29,5.48,12.15,59.3,8.52,0.0665,4.2578,0.0655,5550,2057,401,0.0000,0,0.00
322,Qwen2.5-VL-3B,,699.02,72.06,771.08,0.784,122,2,124,0,No,yes,Is a large water area present?,5.31,5.52,12.16,59.2,8.52,0.0698,4.2577,0.0687,5550,2057,401,0.0000,0,0.00
323,Qwen2.5-VL-3B,,699.59,72.18,771.77,0.785,124,2,126,0,1,0,What is the number of square commercial buildings?,5.23,5.48,12.12,59.2,8.49,0.0685,4.2448,0.0674,5550,2057,401,0.0000,0,0.00
324,Qwen2.5-VL-3B,,713.03,72.50,785.53,0.799,128,2,130,1,No,no,Is the number of water areas equal to the number of buildings?,5.24,5.52,12.10,59.2,8.48,0.0662,4.2388,0.0652,5550,2057,401,0.0000,0,0.00
325,Qwen2.5-VL-3B,,700.11,72.09,772.19,0.785,123,2,125,0,Yes,no,Are there less buildings than grass areas?,5.31,5.52,12.14,59.4,8.51,0.0692,4.2537,0.0681,5550,2057,401,0.0000,0,0.00
326,Qwen2.5-VL-3B,,698.98,72.06,771.04,0.784,120,2,122,1,Yes,yes,Is there a forest?,5.23,5.48,12.12,59.1,8.49,0.0707,4.2439,0.0696,5550,2057,401,0.0000,0,0.00
327,Qwen2.5-VL-3B,,711.66,72.07,783.73,0.797,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,5.24,5.52,12.10,59.2,8.48,0.0662,4.2393,0.0652,5550,2057,401,0.0000,0,0.00
328,Qwen2.5-VL-3B,,699.56,72.47,772.02,0.785,121,2,123,1,Yes,yes,Is a small road present?,5.29,5.52,12.17,59.3,8.52,0.0704,4.2618,0.0693,5550,2057,401,0.0000,0,0.00
329,Qwen2.5-VL-3B,,712.04,72.07,784.11,0.797,129,2,131,0,1,164,How many residential buildings at the top of a  road are there?,5.22,5.48,12.08,59.1,8.46,0.0656,4.2301,0.0646,5550,2057,401,0.0000,0,0.00
330,Qwen2.5-VL-3B,,699.14,72.11,771.26,0.785,122,2,124,0,Yes,no,Are there more roads than buildings?,5.32,5.48,12.11,59.2,8.49,0.0696,4.2430,0.0684,5550,2057,401,0.0000,0,0.00
331,Qwen2.5-VL-3B,,698.87,72.11,770.98,0.784,123,2,125,0,1,0,How many circular commercial buildings are there?,5.28,5.56,12.06,59.3,8.44,0.0687,4.2224,0.0676,5550,2057,401,0.0000,0,0.00
332,Qwen2.5-VL-3B,,700.61,278.57,979.17,0.992,123,5,128,0,1000,114,What is the amount of grass areas?,5.25,5.52,12.16,59.2,10.94,0.0889,2.1875,0.0854,5550,2057,401,0.0000,0,0.00
333,Qwen2.5-VL-3B,,698.51,210.65,909.16,0.923,124,4,128,0,100,101,What is the amount of rectangular residential buildings?,5.32,5.52,12.41,59.5,11.17,0.0901,2.7935,0.0873,5550,2057,401,0.0000,0,0.00
334,Qwen2.5-VL-3B,,698.85,72.17,771.01,0.784,121,2,123,1,No,no,Is there a circular road?,4.97,5.40,11.81,59.1,8.25,0.0682,4.1268,0.0671,5550,2057,401,0.0000,0,0.00
335,Qwen2.5-VL-3B,,699.09,143.06,842.15,0.855,123,3,126,0,10,3,What is the number of residential areas?,5.19,5.52,11.99,59.5,9.60,0.0780,3.1988,0.0762,5550,2057,401,0.0000,0,0.00
336,Qwen2.5-VL-3B,,698.60,72.04,770.64,0.784,121,2,123,1,Yes,yes,Is a farmland present?,5.13,5.48,11.90,59.2,8.31,0.0687,4.1567,0.0676,5550,2057,401,0.0000,0,0.00
337,Qwen2.5-VL-3B,,699.93,210.46,910.39,0.924,124,4,128,0,100,8,What is the amount of medium water areas?,5.27,5.48,12.10,59.5,10.89,0.0878,2.7216,0.0850,5550,2057,401,0.0000,0,0.00
338,Qwen2.5-VL-3B,,712.38,72.18,784.56,0.798,128,2,130,0,No,yes,Is there a residential building at the top of a  road?,4.98,5.48,11.79,59.3,8.22,0.0642,4.1093,0.0632,5550,2057,401,0.0000,0,0.00
339,Qwen2.5-VL-3B,,700.79,72.15,772.94,0.786,125,2,127,1,No,no,Is a large residential building present in the image?,5.27,5.48,12.14,59.5,8.51,0.0681,4.2539,0.0670,5550,2057,401,0.0000,0,0.00
340,Qwen2.5-VL-3B,,700.72,211.42,912.14,0.925,123,4,127,0,100,23,What is the amount of rectangular forests?,5.28,5.52,12.16,59.2,10.94,0.0890,2.7357,0.0862,5550,2057,401,0.0000,0,0.00
341,Qwen2.5-VL-3B,,698.91,72.13,771.04,0.784,122,2,124,0,1,0,How many large roads are there?,5.01,5.52,11.78,59.4,8.21,0.0673,4.1051,0.0662,5550,2057,401,0.0000,0,0.00
342,Qwen2.5-VL-3B,,699.88,72.07,771.95,0.785,124,2,126,1,Yes,yes,Are there less commercial buildings than water areas?,5.22,5.48,12.01,59.2,8.41,0.0678,4.2053,0.0668,5550,2057,401,0.0000,0,0.00
343,Qwen2.5-VL-3B,,700.19,72.08,772.27,0.786,124,2,126,1,Yes,yes,Is a medium building present in the image?,5.21,5.40,12.06,59.3,8.45,0.0681,4.2241,0.0670,5550,2057,401,0.0000,0,0.00
344,Qwen2.5-VL-3B,,711.54,142.94,854.48,0.868,127,3,130,0,10,14,What is the number of small grass areas in the image?,5.28,5.52,12.08,59.3,9.66,0.0761,3.2208,0.0743,5550,2057,401,0.0000,0,0.00
345,Qwen2.5-VL-3B,,698.45,72.49,770.94,0.784,124,2,126,0,1,3,What is the number of square residential buildings?,5.20,5.52,12.10,59.3,8.46,0.0682,4.2293,0.0671,5550,2057,401,0.0000,0,0.00
346,Qwen2.5-VL-3B,,699.14,72.17,771.32,0.785,123,2,125,0,Yes,no,Are there less buildings than water areas?,5.21,5.32,12.10,59.1,8.48,0.0689,4.2380,0.0678,5550,2057,401,0.0000,0,0.00
347,Qwen2.5-VL-3B,,699.53,72.04,771.57,0.785,124,2,126,1,Yes,yes,Are there more grass areas than water areas?,5.25,5.52,12.04,59.2,8.43,0.0680,4.2132,0.0669,5550,2057,401,0.0000,0,0.00
348,Qwen2.5-VL-3B,,699.25,72.05,771.29,0.785,125,2,127,1,Yes,yes,Are there less water areas than farmlands?,5.24,5.48,12.09,59.3,8.46,0.0677,4.2309,0.0666,5550,2057,401,0.0000,0,0.00
349,Qwen2.5-VL-3B,,699.04,72.10,771.14,0.784,121,2,123,1,Yes,yes,Is a orchard present?,5.26,5.40,12.04,59.3,8.44,0.0698,4.2202,0.0686,5550,2057,401,0.0000,0,0.00
350,Qwen2.5-VL-3B,,699.93,72.52,772.45,0.786,123,2,125,1,Yes,yes,Are there less residential buildings than roads?,5.25,5.52,12.07,59.2,8.45,0.0687,4.2272,0.0676,5550,2057,401,0.0000,0,0.00
351,Qwen2.5-VL-3B,,699.79,72.12,771.90,0.785,122,2,124,0,Yes,no,Is a small farmland present?,5.24,5.52,12.12,59.3,8.48,0.0695,4.2409,0.0684,5550,2057,401,0.0000,0,0.00
352,Qwen2.5-VL-3B,,698.04,72.10,770.13,0.783,122,2,124,1,Yes,yes,Is a small commercial building present?,5.24,5.36,12.07,59.3,8.46,0.0693,4.2293,0.0682,5550,2057,401,0.0000,0,0.00
353,Qwen2.5-VL-3B,,711.91,72.07,783.98,0.797,128,2,130,0,Yes,no,Are there more commercial buildings than farmlands in the image?,5.23,5.48,12.03,59.4,8.42,0.0658,4.2111,0.0648,5550,2057,401,0.0000,0,0.00
354,Qwen2.5-VL-3B,,700.39,72.48,772.87,0.786,123,2,125,0,1,2,How many medium commercial buildings are there?,5.31,5.52,12.12,59.2,8.49,0.0690,4.2448,0.0679,5550,2057,401,0.0000,0,0.00
355,Qwen2.5-VL-3B,,712.00,72.16,784.16,0.798,127,2,129,0,No,yes,Are there more commercial buildings than rectangular roads in the image?,5.25,5.40,12.07,59.2,8.46,0.0666,4.2304,0.0656,5550,2057,401,0.0000,0,0.00
356,Qwen2.5-VL-3B,,700.10,72.08,772.17,0.785,127,2,129,0,Yes,no,Are there more circular water areas than buildings in the image?,5.32,5.52,12.12,59.4,8.49,0.0669,4.2459,0.0658,5550,2057,401,0.0000,0,0.00
357,Qwen2.5-VL-3B,,711.70,72.06,783.75,0.797,129,2,131,1,No,no,Is the number of residential buildings equal to the number of water areas?,5.28,5.52,12.15,59.1,8.50,0.0659,4.2509,0.0649,5550,2057,401,0.0000,0,0.00
358,Qwen2.5-VL-3B,,700.55,72.50,773.05,0.786,122,2,124,1,Yes,yes,Are there less forests than buildings?,5.29,5.48,12.22,59.2,8.57,0.0703,4.2858,0.0691,5550,2057,401,0.0000,0,0.00
359,Qwen2.5-VL-3B,,698.82,72.13,770.94,0.784,123,2,125,0,Yes,no,Are there more water areas than roads?,5.26,5.52,12.08,59.3,8.46,0.0688,4.2282,0.0677,5550,2057,401,0.0000,0,0.00
360,Qwen2.5-VL-3B,,698.84,72.21,771.05,0.784,121,2,123,0,No,yes,Is a circular building present?,5.26,5.56,12.10,59.4,8.47,0.0700,4.2336,0.0688,5550,2057,401,0.0000,0,0.00
361,Qwen2.5-VL-3B,,699.21,72.04,771.26,0.785,122,2,124,0,Yes,no,Is there a large commercial building?,5.27,5.56,12.04,59.4,8.43,0.0691,4.2154,0.0680,5550,2057,401,0.0000,0,0.00
362,Qwen2.5-VL-3B,,700.22,72.51,772.73,0.786,123,2,125,1,Yes,yes,Are there more buildings than water areas?,5.26,5.52,12.04,59.3,8.43,0.0685,4.2157,0.0675,5550,2057,401,0.0000,0,0.00
363,Qwen2.5-VL-3B,,698.34,72.06,770.40,0.784,123,2,125,1,Yes,yes,Are there more roads than grass areas?,5.23,5.48,12.07,59.1,8.45,0.0687,4.2255,0.0676,5550,2057,401,0.0000,0,0.00
364,Qwen2.5-VL-3B,,712.94,72.12,785.06,0.799,128,2,130,1,Yes,yes,Is there a building on the right of a  water area?,5.23,5.52,12.10,59.4,8.48,0.0663,4.2401,0.0652,5550,2057,401,0.0000,0,0.00
365,Qwen2.5-VL-3B,,699.90,212.45,912.36,0.926,124,4,128,0,100,9,What is the amount of rectangular water areas?,5.34,5.52,12.26,59.3,11.03,0.0890,2.7576,0.0862,5550,2057,401,0.0000,0,0.00
366,Qwen2.5-VL-3B,,699.45,72.57,772.02,0.785,121,2,123,1,No,no,Is there a square road?,4.93,5.16,11.81,59.1,8.28,0.0684,4.1380,0.0673,5550,2057,401,0.0000,0,0.00
367,Qwen2.5-VL-3B,,699.45,142.94,842.39,0.856,123,3,126,0,10,163,How many small residential buildings are there?,5.20,5.44,12.07,59.4,9.66,0.0785,3.2198,0.0767,5550,2057,401,0.0000,0,0.00
368,Qwen2.5-VL-3B,,700.36,72.47,772.83,0.786,124,2,126,1,Yes,yes,Are there more residential buildings than water areas?,5.11,5.48,11.93,59.2,8.34,0.0672,4.1676,0.0662,5550,2057,401,0.0000,0,0.00
369,Qwen2.5-VL-3B,,700.50,72.13,772.63,0.786,124,2,126,0,1,0,What is the number of large commercial buildings?,5.20,5.44,12.09,59.2,8.47,0.0683,4.2333,0.0672,5550,2057,401,0.0000,0,0.00
