question_id,model_name,model_load_time_s,prefill_ms,decode_ms,prefill_plus_decode_ms,latency_sec,input_tokens,output_tokens,total_tokens,correct,model_response,ground_truth,question_text,avg_gpu_cv_w,max_gpu_cv_w,avg_power_in_w,max_gpu_temp_c,energy_total_j,energy_per_input_token_j,energy_per_output_token_j,energy_per_total_token_j,ram_used_mb,ram_free_mb,swap_used_mb,kv_cache_usage_ratio,kv_cache_tokens
123,Qwen2.5-VL-3B,,503.71,67.03,570.75,0.603,123,2,125,0,1,14,What is the number of water areas?,6.34,6.90,14.21,60.6,8.50,0.0691,4.2512,0.0680,6491,1129,73,0.0000,0
124,Qwen2.5-VL-3B,,493.98,68.47,562.45,0.595,127,2,129,1,No,no,Is the number of buildings equal to the number of roads?,6.39,6.98,14.11,60.7,7.07,0.0557,3.5363,0.0548,6491,1129,73,0.0000,0
125,Qwen2.5-VL-3B,,673.66,67.90,741.56,0.764,129,2,131,1,No,no,Is the number of grass areas equal to the number of water areas?,6.55,6.83,14.79,60.7,10.39,0.0806,5.1972,0.0793,6491,1129,73,0.0000,0
126,Qwen2.5-VL-3B,,629.15,69.28,698.42,0.724,123,2,125,0,Yes,no,Are there more water areas than roads?,6.49,6.79,14.63,60.7,10.25,0.0833,5.1236,0.0820,6484,1136,81,0.0000,0
127,Qwen2.5-VL-3B,,596.52,222.47,818.99,0.852,123,4,127,0,100,5,What is the amount of orchards?,6.40,6.79,14.47,60.8,11.61,0.0944,2.9028,0.0914,6491,1129,81,0.0000,0
128,Qwen2.5-VL-3B,,616.40,77.28,693.69,0.726,123,2,125,1,Yes,yes,Are there more roads than water areas?,6.37,6.67,14.58,60.6,10.20,0.0830,5.1023,0.0816,6495,1125,81,0.0000,0
129,Qwen2.5-VL-3B,,608.86,73.27,682.12,0.709,124,2,126,0,Yes,no,Are there more small commercial buildings than forests?,6.31,6.59,14.44,60.8,10.13,0.0817,5.0634,0.0804,6503,1117,81,0.0000,0
130,Qwen2.5-VL-3B,,607.80,66.60,674.41,0.699,129,2,131,1,No,no,Is the number of water areas equal to the number of circular roads?,6.25,6.63,14.33,60.6,8.57,0.0664,4.2829,0.0654,6500,1120,89,0.0000,0
131,Qwen2.5-VL-3B,,559.28,221.25,780.54,0.816,124,4,128,0,100,0,What is the amount of square residential buildings?,6.55,6.75,14.74,60.7,11.80,0.0952,2.9507,0.0922,6504,1116,93,0.0000,0
132,Qwen2.5-VL-3B,,613.75,68.22,681.97,0.705,128,2,130,1,No,no,Is the number of grass areas equal to the number of buildings?,6.26,6.75,14.35,60.8,10.08,0.0787,5.0398,0.0775,6510,1110,93,0.0000,0
133,Qwen2.5-VL-3B,,586.17,68.41,654.57,0.682,122,2,124,1,Yes,yes,Is a rectangular farmland present?,6.33,6.79,14.25,60.8,8.54,0.0700,4.2692,0.0689,6510,1110,93,0.0000,0
134,Qwen2.5-VL-3B,,647.04,145.86,792.90,0.820,122,3,125,0,10,126,How many grass areas are there?,6.57,6.87,14.75,60.9,11.81,0.0968,3.9371,0.0945,6507,1113,101,0.0000,0
135,Qwen2.5-VL-3B,,601.58,219.76,821.33,0.855,122,4,126,0,100,63,How many large forests are there?,6.35,6.67,14.45,60.7,11.54,0.0946,2.8852,0.0916,6512,1108,101,0.0000,0
136,Qwen2.5-VL-3B,,623.48,385.52,1009.00,1.037,125,6,131,0,10000,77,What is the amount of large farmlands?,6.37,6.63,14.69,60.9,14.70,0.1176,2.4495,0.1122,6517,1103,101,0.0000,0
137,Qwen2.5-VL-3B,,614.58,76.13,690.71,0.719,123,2,125,0,1,76,How many large grass areas are there?,6.17,6.59,14.53,60.9,10.16,0.0826,5.0804,0.0813,6522,1098,101,0.0000,0
138,Qwen2.5-VL-3B,,603.55,67.52,671.07,0.698,123,2,125,1,Yes,yes,Are there less water areas than forests?,6.24,6.67,14.36,60.9,8.61,0.0700,4.3048,0.0689,6521,1099,110,0.0000,0
139,Qwen2.5-VL-3B,,657.43,67.94,725.37,0.757,122,2,124,0,Yes,no,Are there less roads than forests?,6.44,6.75,14.78,60.8,10.36,0.0849,5.1792,0.0835,6526,1094,110,0.0000,0
140,Qwen2.5-VL-3B,,631.58,67.68,699.26,0.724,122,2,124,1,Yes,yes,Is there a medium commercial building?,6.43,6.75,14.60,60.9,10.22,0.0838,5.1091,0.0824,6527,1093,114,0.0000,0
141,Qwen2.5-VL-3B,,602.97,297.13,900.10,0.928,124,5,129,0,1000,78,What is the number of farmlands?,6.45,6.75,14.52,61.1,13.09,0.1055,2.6175,0.1015,6534,1086,114,0.0000,0
142,Qwen2.5-VL-3B,,607.64,154.82,762.47,0.790,127,3,130,0,10,217,What is the number of small residential buildings in the image?,6.29,6.67,14.51,61.1,10.14,0.0798,3.3795,0.0780,6539,1081,114,0.0000,0
143,Qwen2.5-VL-3B,,550.25,66.83,617.07,0.653,128,2,130,1,No,no,Is the number of residential buildings equal to the number of roads?,6.43,6.67,14.66,60.9,8.80,0.0687,4.3976,0.0677,6542,1078,117,0.0000,0
144,Qwen2.5-VL-3B,,531.92,295.27,827.19,0.855,124,5,129,0,1000,0,What is the amount of square commercial buildings?,6.55,6.83,14.62,61.1,11.72,0.0946,2.3450,0.0909,6547,1073,117,0.0000,0
145,Qwen2.5-VL-3B,,639.06,143.31,782.38,0.806,123,3,126,0,10,0,What is the number of medium roads?,6.30,6.55,14.69,61.0,11.76,0.0956,3.9184,0.0933,6548,1072,117,0.0000,0
146,Qwen2.5-VL-3B,,597.00,64.85,661.85,0.689,122,2,124,1,No,no,Is a square residential building present?,6.14,6.55,14.31,61.0,8.61,0.0706,4.3052,0.0694,6548,1072,117,0.0000,0
147,Qwen2.5-VL-3B,,665.80,64.38,730.18,0.762,131,2,133,1,No,no,Is the number of circular commercial buildings equal to the number of farmlands?,6.45,6.67,14.73,61.2,10.32,0.0788,5.1600,0.0776,6550,1070,120,0.0000,0
148,Qwen2.5-VL-3B,,641.61,219.47,861.07,0.890,132,4,136,0,100,1,What is the amount of medium farmlands on the left of a  building?,6.53,6.79,14.68,61.3,11.76,0.0891,2.9400,0.0865,6555,1065,120,0.0000,0
149,Qwen2.5-VL-3B,,676.32,68.33,744.65,0.772,129,2,131,1,No,no,Is the number of roads equal to the number of square residential buildings?,6.38,6.71,14.77,61.1,10.36,0.0803,5.1821,0.0791,6561,1059,120,0.0000,0
150,Qwen2.5-VL-3B,,638.91,67.43,706.34,0.733,121,2,123,1,1,1,How many commercials are there?,6.43,6.67,14.67,61.2,10.28,0.0850,5.1401,0.0836,6562,1058,123,0.0000,0
151,Qwen2.5-VL-3B,,608.54,67.88,676.42,0.709,123,2,125,1,Yes,yes,Are there more residential buildings than roads?,6.32,6.67,14.48,61.2,10.18,0.0827,5.0888,0.0814,6567,1053,123,0.0000,0
152,Qwen2.5-VL-3B,,591.81,69.33,661.14,0.689,123,2,125,1,0,0,How many large residential buildings are there?,6.32,6.71,14.28,61.2,8.55,0.0695,4.2751,0.0684,6571,1049,124,0.0000,0
153,Qwen2.5-VL-3B,,653.69,67.25,720.94,0.747,123,2,125,0,Yes,no,Are there more commercial buildings than forests?,6.51,6.83,14.74,61.4,10.33,0.0840,5.1668,0.0827,6576,1044,124,0.0000,0
154,Qwen2.5-VL-3B,,516.66,147.92,664.58,0.700,123,3,126,0,10,7,How many medium residential buildings are there?,6.40,6.83,14.32,61.2,8.60,0.0699,2.8651,0.0682,6581,1039,124,0.0000,0
155,Qwen2.5-VL-3B,,664.54,68.39,732.93,0.761,124,2,126,1,Yes,yes,Are there more residential buildings than water areas?,6.45,6.79,14.75,61.2,10.35,0.0834,5.1739,0.0821,6576,1044,129,0.0000,0
156,Qwen2.5-VL-3B,,534.03,68.78,602.81,0.632,121,2,123,1,No,no,Is a circular building present?,6.55,6.87,14.60,61.2,8.77,0.0725,4.3835,0.0713,6574,1046,129,0.0000,0
157,Qwen2.5-VL-3B,,615.93,68.26,684.19,0.707,122,2,124,0,Yes,no,Are there less buildings than roads?,6.49,6.87,14.53,61.2,10.17,0.0834,5.0855,0.0820,6579,1041,129,0.0000,0
158,Qwen2.5-VL-3B,,593.93,69.60,663.53,0.690,124,2,126,0,1,9,What is the number of rectangular water areas?,6.29,6.71,14.24,61.3,8.53,0.0688,4.2661,0.0677,6579,1041,129,0.0000,0
159,Qwen2.5-VL-3B,,649.17,67.81,716.98,0.749,122,2,124,0,0,1,How many large buildings are there?,6.50,6.83,14.76,61.2,10.35,0.0849,5.1768,0.0835,6586,1034,129,0.0000,0
160,Qwen2.5-VL-3B,,626.62,68.38,695.00,0.720,125,2,127,0,No,yes,Is a rectangular residential building present in the image?,6.40,6.71,14.59,61.2,10.21,0.0817,5.1057,0.0804,6592,1028,129,0.0000,0
161,Qwen2.5-VL-3B,,599.87,67.92,667.79,0.696,125,2,127,0,Yes,no,Are there more circular grass areas than commercial buildings?,6.30,6.71,14.35,61.3,8.61,0.0689,4.3058,0.0678,6597,1023,129,0.0000,0
162,Qwen2.5-VL-3B,,659.67,64.92,724.59,0.752,123,2,125,0,Yes,no,Are there less residential buildings than roads?,6.51,6.79,14.80,61.4,10.39,0.0845,5.1946,0.0831,6608,1012,133,0.0000,0
163,Qwen2.5-VL-3B,,625.46,143.65,769.11,0.801,123,3,126,0,10,2,How many small commercial buildings are there?,6.40,6.71,14.56,61.2,10.18,0.0828,3.3944,0.0808,6607,1013,133,0.0000,0
164,Qwen2.5-VL-3B,,670.85,66.89,737.74,0.765,125,2,127,1,Yes,yes,Are there less square residential buildings than residential buildings?,6.37,6.63,14.78,61.3,10.37,0.0829,5.1826,0.0816,6615,1005,133,0.0000,0
165,Qwen2.5-VL-3B,,633.95,68.25,702.20,0.728,123,2,125,0,1,2,How many circular grass areas are there?,6.42,6.67,14.65,61.4,10.27,0.0835,5.1372,0.0822,6620,1000,133,0.0000,0
166,Qwen2.5-VL-3B,,515.02,67.35,582.37,0.615,129,2,131,1,No,no,Is the number of commercial buildings equal to the number of water areas?,6.44,6.87,14.36,61.5,8.60,0.0667,4.3014,0.0657,6625,995,133,0.0000,0
167,Qwen2.5-VL-3B,,614.12,66.93,681.05,0.710,131,2,133,0,3,14,What is the number of water areas on the right of a  residential building?,6.37,6.75,14.41,61.4,10.12,0.0772,5.0584,0.0761,6628,992,135,0.0000,0
168,Qwen2.5-VL-3B,,605.58,67.91,673.49,0.699,127,2,129,1,No,no,Is the number of buildings equal to the number of forests?,6.38,6.71,14.32,61.5,8.56,0.0674,4.2819,0.0664,6628,992,135,0.0000,0
169,Qwen2.5-VL-3B,,668.48,69.56,738.04,0.765,137,2,139,1,No,no,Is the number of residential buildings equal to the number of water areas on the right of a  residential building?,6.54,6.83,14.75,61.4,10.34,0.0754,5.1676,0.0744,6633,987,135,0.0000,0
170,Qwen2.5-VL-3B,,630.07,67.46,697.53,0.725,123,2,125,1,Yes,yes,Are there less medium buildings than roads?,6.45,6.67,14.65,61.3,10.28,0.0836,5.1407,0.0823,6638,982,135,0.0000,0
171,Qwen2.5-VL-3B,,615.98,66.23,682.21,0.715,129,2,131,1,No,no,Is the number of water areas equal to the number of residential buildings?,6.40,6.75,14.41,61.4,10.07,0.0781,5.0356,0.0769,6644,976,135,0.0000,0
172,Qwen2.5-VL-3B,,597.92,67.91,665.83,0.694,121,2,123,1,No,no,Is there a circular road?,6.32,6.63,14.33,61.5,8.61,0.0712,4.3050,0.0700,6649,971,135,0.0000,0
173,Qwen2.5-VL-3B,,663.34,70.45,733.79,0.761,122,2,124,0,1,130,How many rectangular buildings are there?,6.52,6.75,14.78,61.4,10.36,0.0849,5.1817,0.0836,6655,965,135,0.0000,0
174,Qwen2.5-VL-3B,,648.38,68.33,716.71,0.740,130,2,132,1,No,no,Is the number of commercial buildings equal to the number of farmlands?,6.46,6.71,14.64,61.6,10.25,0.0789,5.1272,0.0777,6662,958,135,0.0000,0
175,Qwen2.5-VL-3B,,514.41,64.27,578.68,0.614,122,2,124,1,Yes,yes,Are there more buildings than roads?,6.44,6.79,14.45,61.7,8.68,0.0712,4.3410,0.0700,6663,957,138,0.0000,0
176,Qwen2.5-VL-3B,,601.30,69.80,671.10,0.694,125,2,127,0,Yes,no,Are there more commercial buildings than farmlands?,6.42,6.87,14.37,61.6,8.60,0.0688,4.2989,0.0677,6670,950,138,0.0000,0
177,Qwen2.5-VL-3B,,672.75,69.11,741.86,0.768,131,2,133,0,0,5,What is the number of commercial buildings at the top of a  water area?,6.48,6.83,14.76,61.4,10.34,0.0790,5.1720,0.0778,6671,949,138,0.0000,0
178,Qwen2.5-VL-3B,,633.25,67.27,700.52,0.725,123,2,125,0,1,2,How many large water areas are there?,6.47,6.71,14.67,61.4,10.29,0.0837,5.1468,0.0823,6674,946,138,0.0000,0
179,Qwen2.5-VL-3B,,600.58,67.70,668.29,0.700,124,2,126,0,Yes,no,Are there more commercial buildings than water areas?,6.36,6.71,14.37,61.5,8.60,0.0693,4.2983,0.0682,6679,941,138,0.0000,0
180,Qwen2.5-VL-3B,,682.67,70.42,753.09,0.780,128,2,130,1,No,no,Is the number of buildings equal to the number of large roads?,6.50,6.83,14.78,61.4,10.36,0.0809,5.1806,0.0797,6687,933,138,0.0000,0
181,Qwen2.5-VL-3B,,661.21,69.66,730.87,0.759,133,2,135,1,No,no,Is the number of farmlands equal to the number of residential buildings in the image?,6.43,6.67,14.72,61.6,10.31,0.0775,5.1571,0.0764,6691,929,141,0.0000,0
182,Qwen2.5-VL-3B,,633.15,69.00,702.14,0.726,122,2,124,1,No,no,Is there a circular commercial building?,6.43,6.75,14.65,61.8,10.27,0.0842,5.1339,0.0828,6696,924,141,0.0000,0
183,Qwen2.5-VL-3B,,600.44,69.32,669.76,0.703,122,2,124,0,1,0,How many circular roads are there?,6.37,6.79,14.43,61.6,10.15,0.0832,5.0752,0.0819,6695,925,141,0.0000,0
184,Qwen2.5-VL-3B,,593.60,217.78,811.38,0.840,124,4,128,0,100,3,What is the amount of medium commercial buildings?,6.38,6.83,14.38,61.6,11.50,0.0927,2.8738,0.0898,6698,922,141,0.0000,0
185,Qwen2.5-VL-3B,,617.39,68.46,685.85,0.711,122,2,124,1,0,0,How many circular buildings are there?,6.37,6.67,14.55,61.7,10.21,0.0837,5.1045,0.0823,6708,912,142,0.0000,0
186,Qwen2.5-VL-3B,,607.66,67.93,675.59,0.705,132,2,134,0,Yes,no,Are there more water areas on the left of a  farmland than water areas?,6.34,6.71,14.35,61.8,10.02,0.0759,5.0080,0.0747,6716,904,142,0.0000,0
187,Qwen2.5-VL-3B,,586.52,65.44,651.96,0.685,122,2,124,0,1,0,How many square buildings are there?,6.27,6.71,14.19,61.8,8.50,0.0697,4.2509,0.0686,6721,899,142,0.0000,0
188,Qwen2.5-VL-3B,,649.43,70.83,720.26,0.747,122,2,124,1,No,no,Is a square commercial building present?,6.48,6.83,14.76,61.6,10.35,0.0848,5.1735,0.0834,6721,899,142,0.0000,0
189,Qwen2.5-VL-3B,,528.40,69.80,598.20,0.630,128,2,130,1,No,no,Is the number of roads equal to the number of water areas?,6.50,6.83,14.51,61.8,8.70,0.0680,4.3508,0.0669,6725,895,142,0.0000,0
190,Qwen2.5-VL-3B,,609.07,68.58,677.64,0.702,122,2,124,1,Yes,yes,Is there a medium grass area?,6.46,6.79,14.51,61.8,10.17,0.0833,5.0838,0.0820,6725,895,144,0.0000,0
191,Qwen2.5-VL-3B,,497.08,65.31,562.38,0.595,123,2,125,1,0,0,How many circular residential buildings are there?,6.23,6.79,14.00,61.8,7.01,0.0570,3.5031,0.0560,6725,895,144,0.0000,0
192,Qwen2.5-VL-3B,,664.01,69.41,733.42,0.755,121,2,123,0,Yes,no,Is a medium road present?,6.61,6.98,14.76,61.8,10.35,0.0855,5.1739,0.0841,6730,890,144,0.0000,0
193,Qwen2.5-VL-3B,,625.44,69.56,695.00,0.721,124,2,126,0,Yes,no,Are there less grass areas than circular roads?,6.48,6.75,14.62,61.8,10.24,0.0826,5.1203,0.0813,6730,890,144,0.0000,0
194,Qwen2.5-VL-3B,,614.99,68.21,683.21,0.711,131,2,133,0,0,10,What is the amount of water areas at the top of a  commercial building?,6.28,6.79,14.28,61.8,10.03,0.0766,5.0141,0.0754,6737,883,144,0.0000,0
195,Qwen2.5-VL-3B,,610.08,68.27,678.35,0.706,131,2,133,1,Yes,yes,Are there more water areas than commercial buildings at the bottom of a  forest?,6.36,6.79,14.36,61.9,10.05,0.0767,5.0234,0.0755,6742,878,144,0.0000,0
196,Qwen2.5-VL-3B,,604.34,64.89,669.23,0.700,128,2,130,0,Yes,no,Is there a forest at the bottom of a  large road?,6.28,6.63,14.26,61.6,8.57,0.0670,4.2868,0.0660,6748,872,144,0.0000,0
197,Qwen2.5-VL-3B,,662.98,64.91,727.89,0.752,125,2,127,0,Yes,no,Are there less rectangular grass areas than water areas?,6.52,6.75,14.79,61.8,10.37,0.0829,5.1833,0.0816,6751,869,145,0.0000,0
198,Qwen2.5-VL-3B,,624.33,220.55,844.88,0.874,124,4,128,0,100,0,What is the amount of circular commercial buildings?,6.50,6.79,14.64,61.9,11.71,0.0945,2.9283,0.0915,6756,864,145,0.0000,0
199,Qwen2.5-VL-3B,,652.98,68.66,721.64,0.749,123,2,125,1,Yes,yes,Are there more buildings than grass areas?,6.29,6.55,14.67,61.8,10.29,0.0836,5.1432,0.0823,6762,858,145,0.0000,0
200,Qwen2.5-VL-3B,,525.97,142.52,668.49,0.701,124,3,127,1,Rural,rural,Is it a rural or an urban area,6.41,6.79,14.46,61.8,8.66,0.0698,2.8871,0.0682,6767,853,145,0.0000,0
201,Qwen2.5-VL-3B,,671.85,70.64,742.48,0.766,123,2,125,1,Yes,yes,Is there a forest in the image?,6.44,6.75,14.80,61.8,10.37,0.0843,5.1857,0.0830,6772,848,145,0.0000,0
202,Qwen2.5-VL-3B,,633.87,67.97,701.84,0.728,122,2,124,0,1,13,What is the number of forests?,6.46,6.71,14.66,61.7,10.27,0.0842,5.1334,0.0828,6772,848,145,0.0000,0
203,Qwen2.5-VL-3B,,512.21,70.59,582.80,0.612,121,2,123,1,Yes,yes,Is a water area present?,6.47,6.90,14.38,62.0,8.61,0.0712,4.3064,0.0700,6766,854,158,0.0000,0
204,Qwen2.5-VL-3B,,592.23,301.59,893.82,0.918,122,5,127,0,1000,30,What is the amount of roads?,6.46,6.83,14.49,61.8,13.09,0.1073,2.6185,0.1031,6773,847,158,0.0000,0
205,Qwen2.5-VL-3B,,659.64,69.50,729.14,0.756,122,2,124,0,Yes,no,Is there a circular nature reserve?,5.89,6.71,13.87,61.8,9.64,0.0790,4.8185,0.0777,6773,847,158,0.0000,0
206,Qwen2.5-VL-3B,,621.60,67.89,689.49,0.715,122,2,124,1,1,1,How many water areas are there?,6.46,6.67,14.63,61.9,10.25,0.0841,5.1273,0.0827,6781,839,158,0.0000,0
207,Qwen2.5-VL-3B,,611.39,67.71,679.10,0.704,127,2,129,0,1,0,What is the amount of medium water areas in the image?,6.40,6.79,14.39,61.9,10.04,0.0791,5.0219,0.0779,6787,833,158,0.0000,0
208,Qwen2.5-VL-3B,,593.17,66.11,659.29,0.686,123,2,125,0,Yes,no,Are there less roads than water areas?,6.27,6.67,14.24,61.9,8.54,0.0694,4.2679,0.0683,6790,830,158,0.0000,0
209,Qwen2.5-VL-3B,,555.47,67.55,623.02,0.652,120,2,122,1,Yes,yes,Is there a road?,6.54,6.79,14.74,61.7,8.86,0.0738,4.4276,0.0726,6798,822,158,0.0000,0
210,Qwen2.5-VL-3B,,626.75,69.46,696.21,0.719,125,2,127,1,3,3,How many grass areas are there in the image?,6.54,6.87,14.61,62.0,10.23,0.0818,5.1138,0.0805,6803,817,158,0.0000,0
211,Qwen2.5-VL-3B,,603.71,68.81,672.52,0.699,124,2,126,1,Yes,yes,Are there more nature reserves than water areas?,6.38,6.75,14.34,61.9,8.60,0.0694,4.3023,0.0683,6803,817,158,0.0000,0
212,Qwen2.5-VL-3B,,682.46,68.72,751.18,0.775,127,2,129,1,Yes,yes,Is a road at the top of a  forest present?,6.44,6.79,14.81,61.8,10.38,0.0817,5.1900,0.0805,6808,812,158,0.0000,0
213,Qwen2.5-VL-3B,,650.93,67.25,718.19,0.745,124,2,126,1,Yes,yes,Is a small forest present in the image?,6.40,6.67,14.71,62.1,10.32,0.0832,5.1584,0.0819,6813,807,158,0.0000,0
214,Qwen2.5-VL-3B,,518.05,68.45,586.50,0.617,123,2,125,0,Yes,no,Are there more water areas than roads?,6.49,6.87,14.49,62.1,8.70,0.0707,4.3506,0.0696,6815,805,160,0.0000,0
215,Qwen2.5-VL-3B,,515.81,69.35,585.16,0.614,121,2,123,0,Yes,no,Is there a circular road?,6.35,6.87,14.16,61.8,8.52,0.0704,4.2591,0.0693,6819,801,160,0.0000,0
216,Qwen2.5-VL-3B,,501.27,72.27,573.54,0.601,123,2,125,0,1,0,How many large water areas are there?,6.35,6.83,14.19,62.0,7.07,0.0575,3.5351,0.0566,6819,801,160,0.0000,0
217,Qwen2.5-VL-3B,,672.01,69.68,741.70,0.766,128,2,130,1,Yes,yes,Is a water area at the top of a  forest present?,6.56,6.94,14.77,62.0,10.36,0.0809,5.1803,0.0797,6819,801,160,0.0000,0
218,Qwen2.5-VL-3B,,632.06,299.41,931.47,0.960,122,5,127,0,1000,3,How many nature reserves are there?,6.46,6.67,14.62,62.0,13.20,0.1082,2.6409,0.1040,6819,801,160,0.0000,0
219,Qwen2.5-VL-3B,,652.51,68.76,721.27,0.747,131,2,133,0,Yes,no,Is the number of water areas equal to the number of forests in the image?,6.27,6.55,14.66,61.9,10.27,0.0784,5.1353,0.0772,6826,794,160,0.0000,0
220,Qwen2.5-VL-3B,,636.90,68.67,705.57,0.732,130,2,132,1,1,1,What is the amount of water areas on the left of a  road?,6.34,6.63,14.54,62.0,10.21,0.0786,5.1061,0.0774,6834,786,160,0.0000,0
221,Qwen2.5-VL-3B,,613.94,69.44,683.37,0.710,123,2,125,0,No,yes,Are there more forests than water areas?,6.40,6.75,14.52,61.9,10.15,0.0825,5.0750,0.0812,6837,783,160,0.0000,0
222,Qwen2.5-VL-3B,,506.37,65.43,571.79,0.602,122,2,124,1,Yes,yes,Is a rectangular water area present?,6.40,6.90,14.25,62.2,8.57,0.0702,4.2835,0.0691,6841,779,160,0.0000,0
223,Qwen2.5-VL-3B,,493.54,67.81,561.35,0.588,121,2,123,1,Yes,yes,Is there a grass area?,6.25,6.87,13.86,61.9,6.93,0.0573,3.4665,0.0564,6852,768,160,0.0000,0
224,Qwen2.5-VL-3B,,651.27,222.36,873.63,0.899,124,4,128,0,100,3,What is the amount of large nature reserves?,6.60,6.94,14.74,62.1,11.81,0.0952,2.9525,0.0923,6852,768,160,0.0000,0
225,Qwen2.5-VL-3B,,568.70,70.06,638.75,0.666,122,2,124,0,1,0,How many medium roads are there?,6.41,6.55,14.78,62.0,8.88,0.0728,4.4398,0.0716,6852,768,160,0.0000,0
226,Qwen2.5-VL-3B,,635.58,67.73,703.31,0.728,124,2,126,0,Yes,no,Are there more square roads than water areas?,6.45,6.67,14.65,62.1,10.26,0.0827,5.1294,0.0814,6850,770,162,0.0000,0
227,Qwen2.5-VL-3B,,624.27,68.00,692.26,0.719,123,2,125,1,1,1,What is the number of circular forests?,6.34,6.71,14.51,62.2,10.16,0.0826,5.0797,0.0813,6850,770,162,0.0000,0
228,Qwen2.5-VL-3B,,505.81,69.26,575.07,0.606,127,2,129,1,No,no,Is the number of roads equal to the number of forests?,6.42,6.87,14.34,62.1,8.63,0.0680,4.3172,0.0669,6856,764,162,0.0000,0
229,Qwen2.5-VL-3B,,600.23,65.19,665.42,0.687,124,2,126,1,1,1,What is the number of circular water areas?,6.38,6.75,14.31,62.2,8.56,0.0691,4.2814,0.0680,6861,759,162,0.0000,0
230,Qwen2.5-VL-3B,,564.40,68.89,633.29,0.663,123,2,125,1,Yes,yes,Are there more roads than water areas?,6.62,6.87,14.72,62.2,8.85,0.0719,4.4243,0.0708,6861,759,162,0.0000,0
231,Qwen2.5-VL-3B,,635.73,67.89,703.62,0.727,124,2,126,1,Yes,yes,Is a nature reserve present in the image?,6.50,6.67,14.67,61.9,10.30,0.0831,5.1498,0.0817,6860,760,176,0.0000,0
232,Qwen2.5-VL-3B,,618.23,143.59,761.81,0.790,130,3,133,0,10,5,What is the number of roads at the bottom of the  water area?,6.45,6.75,14.45,62.1,10.10,0.0777,3.3650,0.0759,6860,760,176,0.0000,0
233,Qwen2.5-VL-3B,,658.71,67.97,726.69,0.753,122,2,124,1,Yes,yes,Are there more roads than forests?,6.42,6.67,14.76,62.0,10.35,0.0848,5.1732,0.0834,6867,753,176,0.0000,0
234,Qwen2.5-VL-3B,,638.24,68.52,706.76,0.730,129,2,131,1,No,no,Is the number of water areas equal to the number of grass areas?,6.36,6.67,14.51,62.1,10.18,0.0789,5.0923,0.0777,6871,749,176,0.0000,0
235,Qwen2.5-VL-3B,,513.77,71.44,585.21,0.615,128,2,130,1,No,no,Is the number of forests equal to the number of water areas?,6.48,6.90,14.41,62.3,8.63,0.0674,4.3150,0.0664,6876,744,176,0.0000,0
236,Qwen2.5-VL-3B,,608.90,64.24,673.14,0.694,123,2,125,0,Yes,no,Are there more grass areas than roads?,6.35,6.67,14.38,62.1,8.65,0.0704,4.3272,0.0692,6883,737,176,0.0000,0
237,Qwen2.5-VL-3B,,663.31,70.04,733.35,0.756,123,2,125,1,Yes,yes,Are there less water areas than roads?,6.50,6.75,14.78,62.2,10.36,0.0842,5.1792,0.0829,6883,737,176,0.0000,0
238,Qwen2.5-VL-3B,,619.75,143.82,763.57,0.792,123,3,126,0,10,3,What is the amount of rectangular forests?,6.46,6.79,14.60,62.2,10.22,0.0831,3.4064,0.0811,6887,733,176,0.0000,0
239,Qwen2.5-VL-3B,,656.64,145.42,802.06,0.837,122,3,125,0,10,1,How many small forests are there?,6.41,6.59,14.74,62.3,11.81,0.0968,3.9369,0.0945,6892,728,176,0.0000,0
240,Qwen2.5-VL-3B,,630.11,69.48,699.59,0.726,128,2,130,1,No,no,Is the number of grass areas equal to the number of roads?,6.29,6.71,14.53,62.3,10.16,0.0794,5.0814,0.0782,6893,727,176,0.0000,0
241,Qwen2.5-VL-3B,,614.31,67.51,681.82,0.709,124,2,126,1,1,1,What is the number of square water areas?,6.35,6.71,14.47,62.2,10.16,0.0819,5.0808,0.0806,6899,721,176,0.0000,0
242,Qwen2.5-VL-3B,,500.19,70.08,570.28,0.600,122,2,124,0,Yes,no,Are there less roads than forests?,6.32,6.79,14.18,62.3,7.04,0.0577,3.5224,0.0568,6903,717,176,0.0000,0
243,Qwen2.5-VL-3B,,665.55,70.11,735.67,0.758,124,2,126,1,Yes,yes,Are there more forests than medium water areas?,6.56,6.94,14.77,62.3,10.37,0.0836,5.1846,0.0823,6907,713,176,0.0000,0
244,Qwen2.5-VL-3B,,627.67,64.91,692.58,0.716,121,2,123,1,Yes,yes,Is there a circular forest?,6.43,6.63,14.64,62.3,10.28,0.0850,5.1424,0.0836,6907,713,176,0.0000,0
245,Qwen2.5-VL-3B,,624.69,71.17,695.85,0.723,122,2,124,1,Yes,yes,Are there less forests than roads?,6.43,6.79,14.43,62.3,10.10,0.0828,5.0483,0.0814,6915,705,176,0.0000,0
246,Qwen2.5-VL-3B,,602.24,69.08,671.32,0.699,124,2,126,0,Yes,no,Are there more water areas than square forests?,6.39,6.75,14.36,62.3,8.62,0.0695,4.3119,0.0684,6909,711,231,0.0000,0
247,Qwen2.5-VL-3B,,565.74,70.08,635.82,0.665,122,2,124,1,Yes,yes,Is a circular water area present?,6.58,6.79,14.77,62.1,8.88,0.0727,4.4377,0.0716,6916,704,231,0.0000,0
